기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지
"2022","행정법총론","11. 국가배상제도에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 공무원에게 부과된 직무상 의무가 단순히 공공일반의 이익만을 위한 경우라면 그러한 직무상 의무 위반에 대해서는 국가배상책임이 인정되지 않는다.","2. 국가의 비권력적 작용은 국가배상청구의 요건인 직무에 포함되지 않는다.","3. 경과실로 불법행위를 한 공무원이 피해자에게 손해를 배상하였다면 이는 타인의 채무를 변제한 경우에 해당하므로 피해자는 공무원에게 이를 반환할 의무가 있다.","4. 지방자치단체가 권원 없이 사실상 관리하고 있는 도로는 국가배상책임의 대상이 되는 영조물에 해당하지 않는다.","","1","직무상 의무가 단순히 공공 일반의 이익만을 위한 경우(반사적 이익), 그 위반으로 인해 개인이 손해를 입었다 하더라도 국가배상책임(상당인과관계)이 인정되지 않습니다.",""
"2022","행정법총론","12. 행정벌에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 양벌규정에 의한 영업주의 처벌은 금지위반행위자인 종업원의 처벌에 종속되는 것이므로 영업주만 따로 처벌할 수는 없다.","2. 통고처분은 법정기간 내에 납부하지 않는 것을 해제조건으로 하는 행정처분이므로 행정소송의 대상이 된다.","3. 행정청의 과태료 부과에 대해 서면으로 이의가 제기된 경우 과태료 부과처분은 그 효력을 상실한다.","4. 법원이 하는 과태료재판에는 원칙적으로 행정소송에서와 같은 신뢰보호의 원칙이 적용된다.","","3","질서위반행위규제법에 따르면 행정청의 과태료 부과에 대해 당사자가 이의를 제기하면 그 부과처분은 효력을 상실하고, 법원의 과태료 재판 절차로 이행됩니다.",""
"2022","행정법총론","13. 행정상 강제집행에 대한 설명으로 옳은 것만을 모두 고르면? (다툼이 있는 경우 판례에 의함)

ㄱ. 행정청은 퇴거를 명하는 집행권원이 없더라도 건물철거 대집행 과정에서 부수적으로 철거의무자인 건물의 점유자들에 대해 퇴거 조치를 할 수 있다.
ㄴ. 권원 없이 국유재산에 설치한 시설물에 대하여 관리청이 행정대집행을 통해 철거를 하지 않는 경우 그 국유재산에 대하여 사용청구권을 가진 자는 국가를 대위하여 민사소송으로 그 시설물의 철거를 구할 수 있다.
ㄷ. 공유 일반재산의 대부료 지급은 사법상 법률관계이므로 행정상 강제집행절차가 인정되더라도 따로 민사소송으로 대부료의 지급을 구하는 것이 허용된다.
ㄹ. 관계법령에 위반하여 장례식장 영업을 하고 있는 자에게 부과된 장례식장 사용중지의무는 공법상 의무로서 행정대집행의 대상이 된다.","1. ㄱ, ㄴ","2. ㄱ, ㄹ","3. ㄴ, ㄷ","4. ㄷ, ㄹ","","1","ㄱ은 옳습니다. ㄴ은 행정대집행이 가능하더라도 제3자(사용청구권자)가 국가를 대위하여 민사소송을 제기하는 것은 허용된다는 것이 판례이므로 옳습니다. ㄷ은 강제징수 절차가 마련되어 있는 경우 민사소송은 허용되지 않는다는 것이 판례이므로 틀립니다. ㄹ은 비대체적 부작위의무이므로 대집행 대상이 아닙니다.",""
"2022","행정법총론","14. 선결문제에 대한 판례의 입장으로 옳지 않은 것은?","1. 조세부과처분이 무효임을 이유로 이미 납부한 세금의 반환을 청구하는 민사소송에서 법원은 그 조세부과처분이 무효라는 판단과 함께 세금을 반환하라는 판결을 할 수 있다.","2. 영업허가취소처분으로 손해를 입은 자가 제기한 국가배상청구소송에서 법원은 영업허가취소처분에 취소사유에 해당하는 하자가 있는 경우에는 영업허가취소처분의 위법을 이유로 배상청구를 인용할 수 없다.","3. 물품을 수입하고자 하는 자가 세관장에게 수입신고를 하여 그 면허를 받고 물품을 통관한 경우에는, 세관장의 수입면허가 중대하고도 명백한 하자가 있는 행정행위이어서 당연무효가 아닌 한 「관세법」 소정의 무면허수입죄가 성립될 수 없다.","4. 영업허가취소처분 이후에 영업을 한 행위에 대하여 무허가영업으로 기소되었으나 형사법원이 판결을 내리기 전에 영업허가취소처분이 행정소송에서 취소되면 형사법원은 무허가영업행위에 대해서 무죄를 선고하여야 한다.","","2","행정처분이 위법하지만 당연무효가 아닌 취소사유만 있는 경우, 민사법원은 처분의 효력을 부인할 수는 없으나(공정력), 국가배상청구소송에서 처분의 '위법성' 여부는 심리·판단하여 배상청구를 인용할 수 있습니다.",""
"2022","행정법총론","15. 공법상 계약에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 지방자치단체가 일방 당사자가 되는 이른바 ‘공공계약’이 사법상 계약에 해당하는 경우에도 법령에 특별한 규정이 없다면 사적자치와 계약자유의 원칙 등 사법의 원리가 그대로 적용되지 않는다.","2. 국립의료원 부설 주차장 위탁관리용역운영계약은 공법상 계약에 해당한다.","3. 공법상 계약이더라도 한쪽 당사자가 다른 당사자를 상대로 계약의 이행을 청구하는 소송은 민사소송으로 제기하여야 한다.","4. 지방자치단체가 A 주식회사를 자원회수시설과 부대시설의 운영․유지관리 등을 위탁할 민간사업자로 선정하고 A 주식회사와 체결한 위 시설에 관한 위․수탁 운영 협약은 사법상 계약에 해당한다.","","4","지방자치단체가 사인과 체결한 자원회수시설 위탁운영협약은 공법상 계약에 해당한다는 것이 판례의 입장입니다.",""
"2022","행정법총론","16. 취소소송의 판결에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 원고의 청구가 이유있다고 인정하는 경우에도 이를 인용하는 것이 현저히 공공복리에 적합하지 않다고 판단되면 법원은 피고 행정청의 주장이나 신청이 없더라도 사정판결을 할 수 있다.","2. 영업정지처분에 대한 취소소송에서 취소판결이 확정되면 처분청은 영업정지처분의 효력을 소멸시키기 위하여 영업정지처분을 취소하는 처분을 하여야 할 의무를 진다.","3. 공사중지명령의 상대방이 제기한 공사중지명령취소소송에서 기각판결이 확정된 경우 특별한 사정변경이 없더라도 그 후 상대방이 제기한 공사중지명령해제신청 거부처분취소소송에서는 그 공사중지명령의 적법성을 다시 다툴 수 있다.","4. 행정청은 취소판결에서 위법하다고 판단된 처분사유와 기본적 사실관계의 동일성이 없는 사유이더라도 처분시에 존재한 사유를 들어 종전의 처분과 같은 처분을 다시 할 수 없다.","","1","사정판결은 원고의 청구가 이유 있음에도 불구하고 처분을 취소하는 것이 현저히 공공복리에 적합하지 않다고 인정될 때 기각하는 판결로, 법원은 당사자의 신청이 없어도 직권으로 사정판결을 할 수 있습니다.",""
"2022","행정법총론","17. A 행정청이 甲에게 한 처분에 대하여 甲은 B 행정심판위원회에 행정심판을 청구하였다. 이에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. B 행정심판위원회의 기각재결이 있은 후에는 A 행정청은 원처분을 직권으로 취소할 수 없다.","2. 甲이 취소심판을 제기한 경우, B 행정심판위원회는 심판청구가 이유가 있다고 인정하면 처분변경명령재결을 할 수 있다.","3. 甲이 무효확인심판을 제기한 경우, B 행정심판위원회는 심판청구가 이유있다고 인정하면서도 이를 인용하는 것이 공공복리에 크게 위배된다고 인정하면 甲의 심판청구를 기각할 수 있다.","4. B 행정심판위원회의 재결에 고유한 위법이 있는 경우에는 甲은 다시 행정심판을 청구할 수 있다.","","2","취소심판에서 행정심판위원회는 청구가 이유 있다고 인정하면 처분을 취소·변경하거나 처분청에게 취소·변경할 것을 명할 수 있습니다(변경명령재결).",""
"2022","행정법총론","18. 다음 각 사례에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)

○ A 시장으로부터 3월의 영업정지처분을 받은 숙박업자 甲은 이에 불복하여 행정쟁송을 제기하고자 한다.
○ B 시장으로부터 건축허가거부처분을 받은 乙은 이에 불복하여 행정쟁송을 제기하고자 한다.","1. 甲이 취소소송을 제기하면서 집행정지신청을 한 경우 법원이 집행정지결정을 하는 데 있어 甲의 본안청구의 적법 여부는 집행정지의 요건에 포함되지 않는다.","2. 甲이 2022. 1. 5. 영업정지처분을 통지받았고, 행정심판을 제기하여 2022. 3. 29. 1월의 영업정지처분으로 변경하는 재결이 있었고 그 재결서 정본을 2022. 4. 2. 송달받은 경우 취소소송의 기산점은 2022. 1. 5.이다.","3. 乙이 의무이행심판을 제기하여 처분명령재결이 있었음에도 B 시장이 허가를 하지 않는 경우 행정심판위원회는 직권으로 시정을 명하고 이를 이행하지 아니하면 직접 건축허가처분을 할 수 있다.","4. 乙이 건축허가거부처분에 대해 제기한 취소소송에서 인용판결이 확정되었으나 B 시장이 기속력에 위반하여 다시 거부처분을 한 경우 乙은 간접강제신청을 할 수 있다.","","4","거부처분 취소소송에서 인용판결이 확정되면 행정청은 재처분의무를 지며, 행정청이 이를 이행하지 않거나 기속력에 위반되는 처분을 한 경우 간접강제 신청이 가능합니다. (재거부 처분이 기속력에 반하여 무효인 경우도 포함)",""
"2022","행정법총론","19. 다음 사례에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)

「도시 및 주거환경정비법」에 따라 설립된 A 주택재건축정비사업조합은 관할 B구청장으로부터 ""㉠조합설립인가""를 받은 후, 조합총회에서 재건축 관련 ""㉡ 관리처분계획에 대한 의결""을 하였고, 관할 B 구청장으로부터 위 ""㉢ 관리처분계획에 대한 인가""를 받았다. 이후 조합원 甲은 위 관리처분계획의 의결에는 조합원 전체의 4/5 이상의 결의가 있어야 함에도 불구하고, 이를 위반하여 위법한 것임을 이유로 ""㉣ 관리처분계획""의 무효를 주장하며 소송으로 다투려고 한다.","1. ㉠과 ㉢의 인가의 강학상 법적 성격은 동일하다.","2. 甲이 ㉡에 대해 소송으로 다투려면 A주택재건축정비사업조합을 상대로 민사소송을 제기하여야 한다.","3. 甲이 ㉣에 대해 소송으로 다투려면 항고소송을 제기하여야 한다.","4. 甲이 ㉣에 대해 소송으로 다투려면 B 구청장을 피고로 하여야 한다.","","3","관리처분계획에 대한 관할 행정청의 인가(㉢)가 있은 후에는 관리처분계획 자체가 항고소송의 대상이 되는 행정처분이 되므로, 이를 다투기 위해서는 관리처분계획 자체(㉣)에 대한 항고소송을 제기해야 합니다.",""
"2022","행정법총론","20. 행정쟁송에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함)","1. 행정심판의 재결에도 판결에서와 같은 기판력이 인정되는 것이어서 재결이 확정되면 처분의 기초가 된 사실관계나 법률적 판단이 확정되는 것이므로 당사자는 이와 모순되는 주장을 할 수 없게 된다.","2. 무효인 처분에 대해 무효선언을 구하는 취소소송을 제기하는 경우에는 제소기간의 제한이 없다.","3. 거부행위가 항고소송의 대상인 처분이 되기 위해서는 그 거부행위가 신청인의 실체상의 권리관계에 직접적인 변동을 일으키는 것이어야 하며, 신청인이 실체상의 권리자로서 권리를 행사함에 중대한 지장을 초래하는 것만으로는 부족하다.","4. 처분시에 행정청으로부터 행정심판 제기기간에 관하여 법정 심판청구기간보다 긴 기간으로 잘못 통지받은 경우에 보호할 신뢰 이익은 그 통지받은 기간 내에 행정소송을 제기한 경우에까지 확대되지 않는다.","","4","행정심판 청구기간의 오고지에 관한 규정(잘못된 긴 기간 안내 시 그 기간 내 청구 유효)은 행정소송(취소소송)의 제소기간에는 적용되지 않는다는 것이 판례의 입장입니다.",""
